-,-,-,-,-,-,-,-,-,02-1998,
-,-,-,-,-,-,-,-,-,02-1998,
-,-,-,-,-,-,-,-,-,02-1998,
-,-,-,-,-,-,-,-,-,02-1998,
23.1,31.8,13.7,1012.0,54,0,14.5,6.1,14.4,02-1998,
24.4,33.8,16,1002.6,63,0,6,8.1,18,02-1998,
23.7,34.3,15.6,999.5,52,0,10.1,12,25.2,02-1998,
20.6,27.7,12.8,1005.2,65,0,9.8,9.1,21.7,02-1998,
20.1,26.5,12.8,1007.7,67,0,15.8,9.1,28.7,02-1998,
16.9,27.4,11,1014.7,60,0,1.6,3.5,3.5,02-2017,
20.8,32,12,1015.3,56,0,1.6,5.2,10.7,02-2017,
17.2,20.4,15.2,1020.6,82,0,1,5.2,7.2,02-2017,
13.4,15.4,11.6,1022.2,95,0,0.8,5.4,10.7,02-2017,
13.9,15.2,10.6,-,96,0,0.6,4.4,7.2,02-2017,
20,26.6,16.6,1013.1,82,0,0.8,4.4,7.2,02-2017,
25.8,33.4,19.8,1009.2,41,0,1.6,5.4,7.2,02-2017,
24.8,36.3,15.6,1008.3,44,0,2.1,5.4,10.7,02-2017,
23.9,36.5,14.6,1017.1,38,0,2.6,7.2,14.4,02-2017,
19.6,27,14,1020.6,63,0,1.4,5.9,14.4,02-2017,
22.4,30.6,17,1015,66,0,1.3,4.4,7.2,02-2017,
21.9,33.2,15,1013.3,68,0,1.1,4.6,7.2,02-2017,
22.2,26.6,19.4,1013.5,79,0.76,0.6,11.9,21.7,02-2017,
20.3,29.2,15.4,1009.3,72,0,1,7.6,18,02-2017,
14.8,24.6,10,1019.1,53,0,2.1,8.5,14.4,02-2017,
15.1,21.6,10,1019.2,50,0,1.9,7.2,18,02-2017,
18.6,26.4,12.4,1012.7,56,1.02,1.4,5.4,7.2,02-2017,
21.1,30,11.4,1007.2,47,0,1.6,6.3,10.7,02-2017,
22.9,33.6,13.4,1004.7,61,0,1.9,6.1,14.4,02-2017,
23.3,31.8,17.6,1011.1,39,0,2.3,13,21.7,02-2017,
23.7,29.6,19.2,1016.9,29,0,2.6,10.2,25.2,02-2017,
24.1,34.8,16.4,1013.6,27,0,2.1,5,7.2,02-2017,
28.4,36.8,15.2,1005.1,24,0,2.3,4.3,7.2,02-2017,
26.1,38.4,15.2,1002.6,26,0,1.9,8.1,18,02-2017,
20.6,25.4,17,1013.5,54,0,1.6,8.1,18,02-2017,
20.5,26,17.2,1012.7,69,0,1.6,5.7,10.7,02-2017,
27.1,37.4,15.6,1010,45,0,1,7.2,10.7,02-2017,
24.7,34.8,15.6,1009.6,47,0,1.1,8.7,14.4,02-2017,
26.3,31,20.6,1008.3,72,0,1.8,5.9,10.7,06-2016,
26.2,33.8,20.4,1010.1,75,12.7,1.9,4.4,10.7,06-2016,
24.9,34.1,20,1010.8,73,1.02,1.8,4.6,7.2,06-2016,
26.1,30.8,20.8,1009.7,70,0,2.1,5,7.2,06-2016,
23.3,30.4,20,1012,81,28.19,2.1,5.9,10.7,06-2016,
26,30.9,20,1010.3,48,0,2.6,4.1,7.2,06-2016,
27.6,34.2,19,1010.5,44,0,2.9,4.6,7.2,06-2016,
27.8,35.8,20,1010.5,61,0,1.9,6.1,10.7,06-2016,
27.4,32.4,23.4,1010.1,67,0,2.1,6.3,10.7,06-2016,
28.1,31.6,24.4,1010.6,69,0,1.6,5.4,10.7,06-2016,
28.1,32.4,24.6,1011.5,70,0,1.4,8.5,14.4,06-2016,
27.9,33,24.6,1012.8,74,0,1.4,5.4,7.2,06-2016,
29.4,34.6,25.2,1010.9,66,0,1.9,5.7,10.7,06-2016,
30.2,37,24,1007.5,65,0,1.9,6.3,7.2,06-2016,
29.2,34.4,24,1008.3,64,0,1.9,8.1,14.4,06-2016,
30.3,36.8,25,1009.7,61,0,2.1,9.4,14.4,06-2016,
29.6,36.8,24.6,1010,65,0,1.6,8.3,14.4,06-2016,
30.3,35.4,25.4,1011.1,63,0,1.6,8.5,14.4,06-2016,
29.8,35.8,22.6,1013.4,53,0,3.2,7.8,14.4,06-2016,
27.4,31.8,23.4,1017.2,64,-,1.9,7.8,14.4,06-2016,
26.9,31.8,22.6,1018.4,69,0,2.6,11.5,18,06-2016,
26.6,33.8,22,1014.4,68,0,2.1,6.1,10.7,06-2016,
28.9,34,23.4,1012.9,57,0,2.7,9.4,14.4,06-2016,
28.9,33,24,1012.5,58,0,2.3,9.6,14.4,06-2016,
29.3,33.2,24,1011.6,58,0,1.6,12,14.4,06-2016,
29,33.4,24.2,1013,60,0,2.3,13.1,21.7,06-2016,
28.4,33,24,1014.1,64,0,2.1,10.7,14.4,06-2016,
29,33.4,23.8,1014.2,65,-,2.1,6.7,14.4,06-2016,
29.2,36.4,23,1012.3,64,0,2.3,5.9,10.7,06-2016,
29.6,35,24.4,1011.9,58,0,2.3,6.7,14.4,06-2016,
23.3,32.2,16,1013.4,48,0,2.4,6.5,10.7,05-2017,
23.9,33.8,16,1010.1,50,0,2.9,8.5,14.4,05-2017,
26.4,33.8,17,1007.7,65,0,1.9,9.4,21.7,05-2017,
25.7,33,21,1010.8,58,0,1.8,6.7,14.4,05-2017,
22.4,32,18,1016.3,50,0,1.9,5.9,10.7,05-2017,
23.8,32,17,1012.8,50,0,2.6,7.6,14.4,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
-,-,-,-,-,-,-,-,-,05-2017,
23.9,30,19.6,1012.8,77,5.08,1.6,11.7,18,07-2015,
24.6,28.2,21.8,1013,78,0,1.9,6.7,18,07-2015,
26.2,32.8,19.6,1011.4,76,1.27,1.3,8.7,14.4,07-2015,
29.6,31,27.8,1010.5,61,0,1.9,12.6,18,07-2015,
26.7,32,22.6,1012.2,72,0,1.6,7.2,14.4,07-2015,
27.9,33.6,21.8,1012,70,0,1.3,7.8,14.4,07-2015,
28.4,33.6,21.8,1010.4,66,0,1.3,7.8,14.4,07-2015,
